"Land";"Thüringen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Erfurt, Stadt";"16051";"Auspendler insgesamt";"0";"25900";"16390";"9510";"22310";"3580";"830"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"010xx";"40";"30";"10";"30";"10";"0"
"Erfurt, Stadt";"16051";"Kiel, Landeshauptstadt";"01002";"30";"20";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Lübeck, Hansestadt";"01003";"20";"20";"10";"10";"10";"0"
"Erfurt, Stadt";"16051";"Nordfriesland";"01054";"20";"20";"0";"20";"0";"0"
"Erfurt, Stadt";"16051";"Stormarn";"01062";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Hamburg, Freie und Hansestadt";"02000";"290";"180";"110";"200";"90";"10"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"031xx";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Braunschweig, Stadt";"03101";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Wolfsburg, Stadt";"03103";"20";"10";"0";"20";"0";"0"
"Erfurt, Stadt";"16051";"Northeim";"03155";"20";"20";"0";"20";"0";"0"
"Erfurt, Stadt";"16051";"Göttingen";"03159";"50";"30";"20";"50";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"032xx";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Region Hannover";"03241";"110";"80";"30";"90";"20";"10"
"Erfurt, Stadt";"16051";"Hildesheim";"03254";"20";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Schaumburg";"03257";"10";"0";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"033xx";"40";"30";"10";"40";"10";"0"
"Erfurt, Stadt";"16051";"Harburg";"03353";"20";"20";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"034xx";"30";"20";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Oldenburg (Oldenburg), Stadt";"03403";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Osnabrück, Stadt";"03404";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Emsland";"03454";"10";"10";"0";"10";"0";"0"
