"Land";"Baden-Württemberg"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Stuttgart, Landeshauptstadt";"08111";"Auspendler insgesamt";"0";"100780";"63520";"37260";"72400";"28380";"3160"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"010xx";"40";"30";"10";"30";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Kiel, Landeshauptstadt";"01002";"110";"90";"20";"70";"50";"0"
"Stuttgart, Landeshauptstadt";"08111";"Lübeck, Hansestadt";"01003";"20";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Pinneberg";"01056";"30";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Schleswig-Flensburg";"01059";"10";"10";"0";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Segeberg";"01060";"30";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Stormarn";"01062";"30";"20";"20";"30";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Hamburg, Freie und Hansestadt";"02000";"870";"460";"410";"610";"250";"20"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"031xx";"20";"10";"10";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Braunschweig, Stadt";"03101";"30";"20";"10";"30";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Salzgitter, Stadt";"03102";"10";"10";"0";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Wolfsburg, Stadt";"03103";"40";"30";"10";"40";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Northeim";"03155";"20";"20";"0";"0";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Göttingen";"03159";"20";"10";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"032xx";"20";"10";"10";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Region Hannover";"03241";"160";"120";"50";"100";"60";"0"
"Stuttgart, Landeshauptstadt";"08111";"Diepholz";"03251";"10";"10";"0";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Hildesheim";"03254";"30";"10";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"033xx";"30";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Harburg";"03353";"20";"10";"10";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Lüneburg";"03355";"10";"10";"0";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Verden";"03361";"10";"0";"10";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"034xx";"40";"30";"10";"30";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Oldenburg (Oldenburg), Stadt";"03403";"10";"10";"10";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Osnabrück, Stadt";"03404";"80";"60";"20";"60";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Cloppenburg";"03453";"40";"30";"10";"40";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Emsland";"03454";"80";"60";"30";"50";"30";"0"
"Stuttgart, Landeshauptstadt";"08111";"Osnabrück";"03459";"30";"30";"0";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"040xx";"10";"0";"10";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Bremen, Stadt";"04011";"120";"80";"40";"100";"30";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"051xx";"10";"10";"0";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Düsseldorf, Stadt";"05111";"620";"360";"270";"450";"170";"10"
"Stuttgart, Landeshauptstadt";"08111";"Duisburg, Stadt";"05112";"60";"40";"20";"40";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Essen, Stadt";"05113";"320";"190";"140";"150";"180";"0"
"Stuttgart, Landeshauptstadt";"08111";"Krefeld, Stadt";"05114";"30";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Mönchengladbach, Stadt";"05116";"30";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Mülheim an der Ruhr, Stadt";"05117";"30";"10";"20";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Oberhausen, Stadt";"05119";"20";"20";"10";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Solingen, Klingenstadt";"05122";"40";"20";"10";"30";"10";"0"
