"Land";"Berlin"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Berlin, Stadt";"11000";"Auspendler insgesamt";"0";"219940";"136090";"83850";"165900";"54040";"3280"
"Berlin, Stadt";"11000";"Flensburg, Stadt";"01001";"120";"60";"60";"100";"20";"0"
"Berlin, Stadt";"11000";"Kiel, Landeshauptstadt";"01002";"430";"240";"190";"370";"60";"10"
"Berlin, Stadt";"11000";"Lübeck, Hansestadt";"01003";"310";"200";"110";"250";"60";"10"
"Berlin, Stadt";"11000";"Neumünster, Stadt";"01004";"780";"630";"150";"620";"150";"10"
"Berlin, Stadt";"11000";"Dithmarschen";"01051";"60";"40";"20";"50";"10";"0"
"Berlin, Stadt";"11000";"Herzogtum Lauenburg";"01053";"130";"80";"40";"100";"20";"0"
"Berlin, Stadt";"11000";"Nordfriesland";"01054";"160";"90";"70";"140";"20";"0"
"Berlin, Stadt";"11000";"Ostholstein";"01055";"110";"60";"50";"80";"20";"0"
"Berlin, Stadt";"11000";"Pinneberg";"01056";"280";"180";"90";"210";"70";"0"
"Berlin, Stadt";"11000";"Plön";"01057";"40";"30";"10";"30";"10";"0"
"Berlin, Stadt";"11000";"Rendsburg-Eckernförde";"01058";"110";"70";"40";"100";"10";"0"
"Berlin, Stadt";"11000";"Schleswig-Flensburg";"01059";"80";"50";"30";"60";"20";"0"
"Berlin, Stadt";"11000";"Segeberg";"01060";"280";"200";"80";"220";"60";"0"
"Berlin, Stadt";"11000";"Steinburg";"01061";"40";"20";"20";"30";"10";"0"
"Berlin, Stadt";"11000";"Stormarn";"01062";"370";"220";"160";"300";"70";"10"
"Berlin, Stadt";"11000";"Hamburg, Freie und Hansestadt";"02000";"12060";"6630";"5430";"8700";"3360";"110"
"Berlin, Stadt";"11000";"Braunschweig, Stadt";"03101";"770";"500";"270";"590";"180";"10"
"Berlin, Stadt";"11000";"Salzgitter, Stadt";"03102";"210";"150";"60";"140";"70";"0"
"Berlin, Stadt";"11000";"Wolfsburg, Stadt";"03103";"1440";"1110";"340";"1230";"220";"20"
"Berlin, Stadt";"11000";"Gifhorn";"03151";"120";"90";"30";"110";"10";"0"
"Berlin, Stadt";"11000";"Goslar";"03153";"80";"50";"20";"50";"20";"0"
"Berlin, Stadt";"11000";"Helmstedt";"03154";"50";"30";"20";"40";"10";"0"
"Berlin, Stadt";"11000";"Northeim";"03155";"80";"60";"20";"60";"20";"0"
"Berlin, Stadt";"11000";"Peine";"03157";"60";"40";"20";"40";"20";"0"
"Berlin, Stadt";"11000";"Wolfenbüttel";"03158";"60";"30";"30";"50";"10";"0"
"Berlin, Stadt";"11000";"Göttingen";"03159";"400";"220";"180";"320";"80";"10"
"Berlin, Stadt";"11000";"Region Hannover";"03241";"2490";"1570";"930";"1830";"670";"30"
"Berlin, Stadt";"11000";"Diepholz";"03251";"70";"60";"20";"50";"20";"0"
"Berlin, Stadt";"11000";"Hameln-Pyrmont";"03252";"90";"60";"30";"70";"20";"10"
"Berlin, Stadt";"11000";"Hildesheim";"03254";"190";"100";"80";"160";"30";"0"
"Berlin, Stadt";"11000";"Holzminden";"03255";"20";"10";"10";"20";"0";"0"
"Berlin, Stadt";"11000";"Nienburg (Weser)";"03256";"50";"30";"20";"30";"10";"0"
"Berlin, Stadt";"11000";"Schaumburg";"03257";"50";"30";"20";"40";"10";"0"
"Berlin, Stadt";"11000";"Celle";"03351";"80";"60";"20";"60";"10";"0"
"Berlin, Stadt";"11000";"Cuxhaven";"03352";"50";"30";"20";"40";"10";"0"
"Berlin, Stadt";"11000";"Harburg";"03353";"210";"160";"50";"170";"40";"0"
"Berlin, Stadt";"11000";"Lüchow-Dannenberg";"03354";"40";"20";"20";"30";"10";"0"
"Berlin, Stadt";"11000";"Lüneburg";"03355";"350";"190";"160";"280";"70";"0"
"Berlin, Stadt";"11000";"Osterholz";"03356";"40";"30";"10";"30";"10";"0"
"Berlin, Stadt";"11000";"Rotenburg (Wümme)";"03357";"100";"60";"30";"80";"20";"0"
"Berlin, Stadt";"11000";"Heidekreis";"03358";"90";"70";"20";"70";"20";"0"
"Berlin, Stadt";"11000";"Stade";"03359";"110";"70";"40";"90";"20";"0"
"Berlin, Stadt";"11000";"Uelzen";"03360";"30";"20";"10";"30";"10";"0"
"Berlin, Stadt";"11000";"Verden";"03361";"110";"60";"50";"100";"20";"0"
"Berlin, Stadt";"11000";"Delmenhorst, Stadt";"03401";"40";"30";"10";"40";"10";"0"
"Berlin, Stadt";"11000";"Emden, Stadt";"03402";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Oldenburg (Oldenburg), Stadt";"03403";"230";"140";"90";"190";"40";"10"
"Berlin, Stadt";"11000";"Osnabrück, Stadt";"03404";"280";"170";"110";"230";"60";"0"
"Berlin, Stadt";"11000";"Wilhelmshaven, Stadt";"03405";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Ammerland";"03451";"120";"90";"40";"110";"20";"0"
"Berlin, Stadt";"11000";"Aurich";"03452";"100";"60";"40";"80";"20";"0"
"Berlin, Stadt";"11000";"Cloppenburg";"03453";"70";"60";"10";"50";"30";"0"
"Berlin, Stadt";"11000";"Emsland";"03454";"250";"190";"60";"170";"80";"10"
"Berlin, Stadt";"11000";"Friesland";"03455";"20";"10";"10";"20";"0";"0"
"Berlin, Stadt";"11000";"Grafschaft Bentheim";"03456";"30";"30";"10";"30";"0";"0"
"Berlin, Stadt";"11000";"Leer";"03457";"50";"30";"20";"40";"0";"0"
"Berlin, Stadt";"11000";"Oldenburg";"03458";"60";"50";"10";"50";"10";"0"
"Berlin, Stadt";"11000";"Osnabrück";"03459";"100";"60";"40";"80";"20";"0"
"Berlin, Stadt";"11000";"Vechta";"03460";"50";"30";"20";"30";"20";"0"
"Berlin, Stadt";"11000";"Wesermarsch";"03461";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Wittmund";"03462";"10";"10";"0";"10";"0";"0"
"Berlin, Stadt";"11000";"Bremen, Stadt";"04011";"1000";"620";"380";"730";"270";"10"
"Berlin, Stadt";"11000";"Bremerhaven, Stadt";"04012";"80";"50";"30";"60";"20";"0"
"Berlin, Stadt";"11000";"Düsseldorf, Stadt";"05111";"4070";"2270";"1800";"2960";"1120";"30"
"Berlin, Stadt";"11000";"Duisburg, Stadt";"05112";"390";"260";"130";"300";"80";"0"
"Berlin, Stadt";"11000";"Essen, Stadt";"05113";"1160";"710";"450";"950";"210";"10"
