"Land";"Hamburg"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Hamburg, Freie und Hansestadt";"02000";"Auspendler insgesamt";"0";"147570";"91490";"56090";"117070";"30510";"3450"
"Hamburg, Freie und Hansestadt";"02000";"Flensburg, Stadt";"01001";"300";"180";"120";"280";"30";"20"
"Hamburg, Freie und Hansestadt";"02000";"Kiel, Landeshauptstadt";"01002";"2080";"1180";"910";"1820";"270";"80"
"Hamburg, Freie und Hansestadt";"02000";"Lübeck, Hansestadt";"01003";"2270";"1330";"930";"1790";"480";"110"
"Hamburg, Freie und Hansestadt";"02000";"Neumünster, Stadt";"01004";"860";"590";"270";"650";"210";"30"
"Hamburg, Freie und Hansestadt";"02000";"Dithmarschen";"01051";"660";"480";"180";"540";"110";"40"
"Hamburg, Freie und Hansestadt";"02000";"Herzogtum Lauenburg";"01053";"5150";"3180";"1980";"4080";"1070";"140"
"Hamburg, Freie und Hansestadt";"02000";"Nordfriesland";"01054";"470";"280";"190";"410";"60";"10"
"Hamburg, Freie und Hansestadt";"02000";"Ostholstein";"01055";"610";"360";"250";"510";"100";"10"
"Hamburg, Freie und Hansestadt";"02000";"Pinneberg";"01056";"14730";"9000";"5730";"11920";"2810";"450"
"Hamburg, Freie und Hansestadt";"02000";"Plön";"01057";"230";"160";"70";"180";"50";"10"
"Hamburg, Freie und Hansestadt";"02000";"Rendsburg-Eckernförde";"01058";"960";"660";"300";"810";"150";"30"
"Hamburg, Freie und Hansestadt";"02000";"Schleswig-Flensburg";"01059";"250";"150";"100";"210";"50";"20"
"Hamburg, Freie und Hansestadt";"02000";"Segeberg";"01060";"14850";"9190";"5660";"11930";"2930";"330"
"Hamburg, Freie und Hansestadt";"02000";"Steinburg";"01061";"1070";"600";"470";"920";"160";"60"
"Hamburg, Freie und Hansestadt";"02000";"Stormarn";"01062";"20800";"13090";"7720";"16520";"4290";"770"
"Hamburg, Freie und Hansestadt";"02000";"Braunschweig, Stadt";"03101";"370";"270";"110";"260";"110";"10"
"Hamburg, Freie und Hansestadt";"02000";"Salzgitter, Stadt";"03102";"50";"40";"10";"40";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wolfsburg, Stadt";"03103";"330";"240";"100";"290";"40";"10"
"Hamburg, Freie und Hansestadt";"02000";"Gifhorn";"03151";"50";"40";"10";"50";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Goslar";"03153";"70";"50";"20";"50";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Helmstedt";"03154";"30";"30";"10";"20";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Northeim";"03155";"120";"110";"20";"80";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Peine";"03157";"40";"30";"10";"20";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wolfenbüttel";"03158";"40";"20";"20";"40";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Göttingen";"03159";"280";"150";"130";"250";"40";"10"
