"Land";"Rheinland-Pfalz"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Koblenz, kreisfreie Stadt";"07111";"Auspendler insgesamt";"0";"18480";"11280";"7200";"14760";"3720";"610"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"010xx";"30";"20";"10";"30";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Neumünster, Stadt";"01004";"20";"20";"0";"20";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Stormarn";"01062";"80";"50";"30";"40";"40";"0"
"Koblenz, kreisfreie Stadt";"07111";"Hamburg, Freie und Hansestadt";"02000";"90";"50";"40";"60";"30";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"032xx";"20";"20";"0";"20";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Region Hannover";"03241";"20";"20";"0";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"033xx";"10";"10";"0";"0";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Harburg";"03353";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"034xx";"40";"30";"10";"30";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Osnabrück, Stadt";"03404";"20";"10";"10";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"040xx";"0";"0";"0";"0";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Bremen, Stadt";"04011";"10";"10";"10";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"051xx";"20";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Düsseldorf, Stadt";"05111";"200";"110";"90";"130";"70";"0"
"Koblenz, kreisfreie Stadt";"07111";"Duisburg, Stadt";"05112";"20";"20";"0";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Essen, Stadt";"05113";"40";"30";"10";"30";"20";"0"
"Koblenz, kreisfreie Stadt";"07111";"Krefeld, Stadt";"05114";"10";"10";"10";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Mönchengladbach, Stadt";"05116";"10";"10";"0";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Mülheim an der Ruhr, Stadt";"05117";"10";"10";"10";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Oberhausen, Stadt";"05119";"20";"10";"10";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Wuppertal, Stadt";"05124";"20";"10";"10";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Mettmann";"05158";"50";"40";"20";"40";"20";"0"
"Koblenz, kreisfreie Stadt";"07111";"Rhein-Kreis Neuss";"05162";"30";"20";"10";"20";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Viersen";"05166";"20";"10";"10";"20";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Wesel";"05170";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"053xx";"0";"0";"0";"0";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Bonn, Stadt";"05314";"500";"240";"260";"430";"70";"10"
"Koblenz, kreisfreie Stadt";"07111";"Köln, Stadt";"05315";"460";"310";"160";"370";"90";"10"
"Koblenz, kreisfreie Stadt";"07111";"Leverkusen, Stadt";"05316";"20";"10";"10";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Städteregion Aachen";"05334";"60";"50";"20";"40";"20";"0"
"Koblenz, kreisfreie Stadt";"07111";"Düren";"05358";"60";"20";"40";"30";"30";"0"
"Koblenz, kreisfreie Stadt";"07111";"Rhein-Erft-Kreis";"05362";"50";"40";"10";"50";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Euskirchen";"05366";"20";"20";"0";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Oberbergischer Kreis";"05374";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Rheinisch-Bergischer Kreis";"05378";"30";"10";"20";"10";"20";"0"
"Koblenz, kreisfreie Stadt";"07111";"Rhein-Sieg-Kreis";"05382";"130";"90";"50";"100";"30";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"055xx";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Gelsenkirchen, Stadt";"05513";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Münster, Stadt";"05515";"20";"20";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Recklinghausen";"05562";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"057xx";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Gütersloh";"05754";"20";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Minden-Lübbecke";"05770";"30";"20";"10";"20";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"059xx";"40";"30";"10";"20";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Bochum, Stadt";"05911";"30";"20";"10";"20";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Dortmund, Stadt";"05913";"70";"50";"30";"30";"40";"0"
"Koblenz, kreisfreie Stadt";"07111";"Ennepe-Ruhr-Kreis";"05954";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Märkischer Kreis";"05962";"20";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Siegen-Wittgenstein";"05970";"10";"10";"10";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Soest";"05974";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"064xx";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Darmstadt, Wissenschaftsstadt";"06411";"50";"30";"20";"40";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Frankfurt am Main, Stadt";"06412";"440";"280";"160";"340";"100";"10"
"Koblenz, kreisfreie Stadt";"07111";"Offenbach am Main, Stadt";"06413";"10";"10";"10";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Wiesbaden, Landeshauptstadt";"06414";"120";"70";"50";"110";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Darmstadt-Dieburg";"06432";"10";"10";"0";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Groß-Gerau";"06433";"40";"30";"10";"30";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Hochtaunuskreis";"06434";"30";"20";"10";"30";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Main-Kinzig-Kreis";"06435";"50";"40";"10";"40";"20";"0"
"Koblenz, kreisfreie Stadt";"07111";"Main-Taunus-Kreis";"06436";"100";"80";"30";"60";"40";"0"
"Koblenz, kreisfreie Stadt";"07111";"Offenbach";"06438";"70";"40";"30";"60";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Rheingau-Taunus-Kreis";"06439";"20";"10";"10";"20";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Wetteraukreis";"06440";"30";"20";"0";"20";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"065xx";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Gießen";"06531";"50";"10";"40";"30";"20";"0"
"Koblenz, kreisfreie Stadt";"07111";"Lahn-Dill-Kreis";"06532";"60";"30";"20";"30";"30";"0"
"Koblenz, kreisfreie Stadt";"07111";"Limburg-Weilburg";"06533";"200";"130";"80";"160";"50";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"066xx";"20";"20";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Kassel, documenta-Stadt";"06611";"10";"10";"10";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"070xx";"70";"50";"20";"60";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Ahrweiler";"07131";"330";"210";"120";"290";"40";"10"
"Koblenz, kreisfreie Stadt";"07111";"Altenkirchen (Westerwald)";"07132";"70";"50";"20";"60";"10";"10"
"Koblenz, kreisfreie Stadt";"07111";"Bad Kreuznach";"07133";"60";"40";"20";"50";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Cochem-Zell";"07135";"170";"110";"60";"150";"20";"10"
"Koblenz, kreisfreie Stadt";"07111";"Mayen-Koblenz";"07137";"6050";"3760";"2290";"4840";"1210";"260"
"Koblenz, kreisfreie Stadt";"07111";"Neuwied";"07138";"1990";"1130";"870";"1610";"380";"70"
"Koblenz, kreisfreie Stadt";"07111";"Rhein-Hunsrück-Kreis";"07140";"900";"610";"290";"770";"120";"50"
"Koblenz, kreisfreie Stadt";"07111";"Rhein-Lahn-Kreis";"07141";"1690";"870";"830";"1480";"220";"70"
"Koblenz, kreisfreie Stadt";"07111";"Westerwaldkreis";"07143";"1400";"880";"520";"1190";"210";"40"
"Koblenz, kreisfreie Stadt";"07111";"Trier, kreisfreie Stadt";"07211";"110";"50";"60";"100";"20";"0"
"Koblenz, kreisfreie Stadt";"07111";"Bernkastel-Wittlich";"07231";"40";"30";"10";"40";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Eifelkreis Bitburg-Prüm";"07232";"30";"20";"10";"20";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Vulkaneifel";"07233";"40";"20";"20";"30";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Trier-Saarburg";"07235";"10";"10";"0";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Kaiserslautern, kreisfreie Stadt";"07312";"50";"20";"20";"30";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Mainz, kreisfreie Stadt";"07315";"230";"120";"110";"210";"20";"0"
"Koblenz, kreisfreie Stadt";"07111";"Speyer, kreisfreie Stadt";"07318";"40";"40";"10";"20";"20";"0"
"Koblenz, kreisfreie Stadt";"07111";"Alzey-Worms";"07331";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Mainz-Bingen";"07339";"60";"30";"30";"50";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"081xx";"40";"30";"10";"30";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Stuttgart, Landeshauptstadt";"08111";"50";"30";"20";"40";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Böblingen";"08115";"20";"20";"0";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Esslingen";"08116";"20";"10";"10";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Ludwigsburg";"08118";"20";"20";"10";"20";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Übrige Kreise (Regierungsbezirk)";"082xx";"20";"20";"10";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Karlsruhe, Stadt";"08212";"20";"10";"10";"10";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Karlsruhe";"08215";"10";"10";"0";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Heidelberg, Stadt";"08221";"10";"0";"10";"10";"0";"0"
"Koblenz, kreisfreie Stadt";"07111";"Mannheim, Universitätsstadt";"08222";"40";"30";"10";"30";"10";"0"
"Koblenz, kreisfreie Stadt";"07111";"Neckar-Odenwald-Kreis";"08225";"60";"40";"20";"0";"60";"0"
