"Land";"Saarland"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Regionalverband Saarbrücken";"10041";"Auspendler insgesamt";"0";"37460";"23470";"14000";"31250";"6220";"1300"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"010xx";"50";"40";"20";"40";"10";"0"
"Regionalverband Saarbrücken";"10041";"Kiel, Landeshauptstadt";"01002";"10";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Lübeck, Hansestadt";"01003";"20";"20";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Hamburg, Freie und Hansestadt";"02000";"190";"110";"90";"120";"70";"10"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"031xx";"30";"20";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Braunschweig, Stadt";"03101";"100";"60";"40";"60";"40";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"032xx";"20";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Region Hannover";"03241";"60";"50";"10";"50";"10";"0"
"Regionalverband Saarbrücken";"10041";"Schaumburg";"03257";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"033xx";"20";"20";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Harburg";"03353";"50";"30";"20";"0";"40";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"034xx";"50";"40";"10";"30";"20";"0"
"Regionalverband Saarbrücken";"10041";"Osnabrück, Stadt";"03404";"20";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Emsland";"03454";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"040xx";"0";"0";"0";"0";"0";"0"
