"Land";"Berlin"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Berlin, Stadt";"11000";"Einpendler insgesamt";"0";"400230";"220240";"179990";"341530";"58580";"8640"
"Berlin, Stadt";"11000";"Flensburg, Stadt";"01001";"190";"110";"90";"160";"30";"0"
"Berlin, Stadt";"11000";"Kiel, Landeshauptstadt";"01002";"630";"360";"270";"520";"120";"10"
"Berlin, Stadt";"11000";"Lübeck, Hansestadt";"01003";"500";"310";"180";"430";"70";"0"
"Berlin, Stadt";"11000";"Neumünster, Stadt";"01004";"150";"100";"50";"90";"60";"0"
"Berlin, Stadt";"11000";"Dithmarschen";"01051";"220";"110";"110";"200";"20";"10"
"Berlin, Stadt";"11000";"Herzogtum Lauenburg";"01053";"420";"260";"160";"360";"70";"10"
"Berlin, Stadt";"11000";"Nordfriesland";"01054";"230";"120";"120";"210";"20";"0"
"Berlin, Stadt";"11000";"Ostholstein";"01055";"350";"200";"150";"310";"50";"10"
"Berlin, Stadt";"11000";"Pinneberg";"01056";"760";"480";"280";"580";"170";"10"
"Berlin, Stadt";"11000";"Plön";"01057";"210";"120";"90";"190";"20";"0"
"Berlin, Stadt";"11000";"Rendsburg-Eckernförde";"01058";"520";"300";"220";"440";"70";"10"
"Berlin, Stadt";"11000";"Schleswig-Flensburg";"01059";"270";"150";"120";"250";"20";"10"
"Berlin, Stadt";"11000";"Segeberg";"01060";"510";"350";"170";"420";"90";"10"
"Berlin, Stadt";"11000";"Steinburg";"01061";"180";"110";"70";"160";"20";"0"
"Berlin, Stadt";"11000";"Stormarn";"01062";"580";"370";"210";"500";"80";"10"
"Berlin, Stadt";"11000";"Hamburg, Freie und Hansestadt";"02000";"9650";"5720";"3930";"7300";"2350";"80"
"Berlin, Stadt";"11000";"Braunschweig, Stadt";"03101";"850";"510";"330";"670";"180";"10"
"Berlin, Stadt";"11000";"Salzgitter, Stadt";"03102";"210";"140";"70";"120";"90";"0"
"Berlin, Stadt";"11000";"Wolfsburg, Stadt";"03103";"450";"230";"220";"270";"180";"0"
"Berlin, Stadt";"11000";"Gifhorn";"03151";"300";"180";"120";"240";"60";"10"
"Berlin, Stadt";"11000";"Goslar";"03153";"260";"170";"90";"190";"80";"10"
"Berlin, Stadt";"11000";"Helmstedt";"03154";"190";"110";"80";"170";"30";"0"
"Berlin, Stadt";"11000";"Northeim";"03155";"160";"100";"70";"150";"20";"0"
"Berlin, Stadt";"11000";"Peine";"03157";"210";"130";"80";"180";"30";"10"
"Berlin, Stadt";"11000";"Wolfenbüttel";"03158";"230";"130";"100";"200";"30";"10"
"Berlin, Stadt";"11000";"Göttingen";"03159";"720";"430";"290";"540";"180";"10"
"Berlin, Stadt";"11000";"Region Hannover";"03241";"3310";"2020";"1290";"2470";"830";"30"
"Berlin, Stadt";"11000";"Diepholz";"03251";"290";"170";"120";"250";"50";"10"
"Berlin, Stadt";"11000";"Hameln-Pyrmont";"03252";"220";"140";"80";"180";"40";"0"
"Berlin, Stadt";"11000";"Hildesheim";"03254";"560";"340";"220";"480";"80";"10"
"Berlin, Stadt";"11000";"Holzminden";"03255";"90";"40";"50";"80";"10";"0"
"Berlin, Stadt";"11000";"Nienburg (Weser)";"03256";"160";"90";"70";"130";"30";"0"
"Berlin, Stadt";"11000";"Schaumburg";"03257";"220";"140";"80";"200";"20";"10"
"Berlin, Stadt";"11000";"Celle";"03351";"330";"190";"140";"280";"50";"10"
"Berlin, Stadt";"11000";"Cuxhaven";"03352";"250";"130";"110";"220";"20";"10"
"Berlin, Stadt";"11000";"Harburg";"03353";"670";"380";"290";"530";"140";"10"
"Berlin, Stadt";"11000";"Lüchow-Dannenberg";"03354";"160";"90";"70";"140";"20";"0"
"Berlin, Stadt";"11000";"Lüneburg";"03355";"420";"240";"180";"380";"40";"10"
"Berlin, Stadt";"11000";"Osterholz";"03356";"140";"90";"50";"120";"20";"0"
"Berlin, Stadt";"11000";"Rotenburg (Wümme)";"03357";"210";"120";"100";"170";"40";"0"
"Berlin, Stadt";"11000";"Heidekreis";"03358";"200";"120";"80";"170";"30";"10"
"Berlin, Stadt";"11000";"Stade";"03359";"320";"200";"120";"260";"60";"0"
"Berlin, Stadt";"11000";"Uelzen";"03360";"150";"90";"60";"140";"20";"0"
"Berlin, Stadt";"11000";"Verden";"03361";"210";"140";"70";"190";"30";"0"
"Berlin, Stadt";"11000";"Delmenhorst, Stadt";"03401";"50";"40";"20";"40";"10";"0"
"Berlin, Stadt";"11000";"Emden, Stadt";"03402";"50";"20";"30";"40";"10";"0"
"Berlin, Stadt";"11000";"Oldenburg (Oldenburg), Stadt";"03403";"430";"270";"150";"330";"90";"0"
"Berlin, Stadt";"11000";"Osnabrück, Stadt";"03404";"410";"240";"170";"320";"90";"10"
"Berlin, Stadt";"11000";"Wilhelmshaven, Stadt";"03405";"110";"60";"50";"80";"20";"0"
"Berlin, Stadt";"11000";"Ammerland";"03451";"160";"80";"80";"140";"20";"0"
"Berlin, Stadt";"11000";"Aurich";"03452";"150";"80";"70";"120";"30";"10"
"Berlin, Stadt";"11000";"Cloppenburg";"03453";"130";"80";"50";"100";"30";"10"
"Berlin, Stadt";"11000";"Emsland";"03454";"300";"180";"120";"210";"90";"10"
"Berlin, Stadt";"11000";"Friesland";"03455";"120";"70";"50";"110";"10";"0"
"Berlin, Stadt";"11000";"Grafschaft Bentheim";"03456";"110";"70";"40";"90";"20";"0"
"Berlin, Stadt";"11000";"Leer";"03457";"140";"90";"60";"130";"20";"0"
"Berlin, Stadt";"11000";"Oldenburg";"03458";"160";"100";"60";"150";"10";"0"
"Berlin, Stadt";"11000";"Osnabrück";"03459";"390";"230";"160";"320";"70";"10"
"Berlin, Stadt";"11000";"Vechta";"03460";"140";"70";"70";"110";"30";"10"
"Berlin, Stadt";"11000";"Wesermarsch";"03461";"80";"50";"30";"70";"10";"0"
"Berlin, Stadt";"11000";"Wittmund";"03462";"60";"30";"30";"50";"10";"0"
"Berlin, Stadt";"11000";"Bremen, Stadt";"04011";"1340";"850";"490";"950";"380";"10"
"Berlin, Stadt";"11000";"Bremerhaven, Stadt";"04012";"140";"90";"50";"90";"40";"0"
"Berlin, Stadt";"11000";"Düsseldorf, Stadt";"05111";"2490";"1400";"1090";"1700";"790";"20"
"Berlin, Stadt";"11000";"Duisburg, Stadt";"05112";"780";"540";"240";"490";"290";"10"
"Berlin, Stadt";"11000";"Essen, Stadt";"05113";"1160";"770";"390";"880";"280";"10"
"Berlin, Stadt";"11000";"Krefeld, Stadt";"05114";"540";"260";"280";"400";"140";"0"
"Berlin, Stadt";"11000";"Mönchengladbach, Stadt";"05116";"320";"210";"120";"250";"70";"0"
"Berlin, Stadt";"11000";"Mülheim an der Ruhr, Stadt";"05117";"310";"210";"100";"230";"80";"10"
"Berlin, Stadt";"11000";"Oberhausen, Stadt";"05119";"240";"160";"80";"180";"60";"0"
"Berlin, Stadt";"11000";"Remscheid, Stadt";"05120";"100";"70";"30";"80";"20";"0"
"Berlin, Stadt";"11000";"Solingen, Klingenstadt";"05122";"210";"140";"70";"190";"30";"0"
"Berlin, Stadt";"11000";"Wuppertal, Stadt";"05124";"520";"350";"180";"360";"160";"0"
"Berlin, Stadt";"11000";"Kleve";"05154";"380";"220";"160";"280";"110";"0"
"Berlin, Stadt";"11000";"Mettmann";"05158";"700";"430";"270";"580";"120";"10"
"Berlin, Stadt";"11000";"Rhein-Kreis Neuss";"05162";"780";"470";"300";"610";"160";"0"
"Berlin, Stadt";"11000";"Viersen";"05166";"380";"210";"170";"330";"50";"10"
"Berlin, Stadt";"11000";"Wesel";"05170";"500";"320";"180";"440";"60";"10"
"Berlin, Stadt";"11000";"Bonn, Stadt";"05314";"1300";"710";"590";"1010";"290";"20"
"Berlin, Stadt";"11000";"Köln, Stadt";"05315";"3950";"2200";"1750";"3130";"820";"30"
"Berlin, Stadt";"11000";"Leverkusen, Stadt";"05316";"290";"190";"110";"220";"80";"0"
