"Land";"Hamburg"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Hamburg, Freie und Hansestadt";"02000";"Einpendler insgesamt";"0";"396420";"235720";"160690";"346260";"50160";"9110"
"Hamburg, Freie und Hansestadt";"02000";"Flensburg, Stadt";"01001";"920";"560";"370";"780";"140";"10"
"Hamburg, Freie und Hansestadt";"02000";"Kiel, Landeshauptstadt";"01002";"4060";"2360";"1700";"3450";"610";"60"
"Hamburg, Freie und Hansestadt";"02000";"Lübeck, Hansestadt";"01003";"5310";"3320";"1990";"4590";"720";"90"
"Hamburg, Freie und Hansestadt";"02000";"Neumünster, Stadt";"01004";"1740";"1150";"600";"1470";"280";"40"
"Hamburg, Freie und Hansestadt";"02000";"Dithmarschen";"01051";"2300";"1530";"770";"2120";"180";"30"
"Hamburg, Freie und Hansestadt";"02000";"Herzogtum Lauenburg";"01053";"24690";"13860";"10830";"22620";"2070";"760"
"Hamburg, Freie und Hansestadt";"02000";"Nordfriesland";"01054";"1500";"840";"660";"1340";"160";"40"
"Hamburg, Freie und Hansestadt";"02000";"Ostholstein";"01055";"3650";"2220";"1430";"3400";"250";"70"
"Hamburg, Freie und Hansestadt";"02000";"Pinneberg";"01056";"54240";"29720";"24510";"48200";"6040";"1690"
"Hamburg, Freie und Hansestadt";"02000";"Plön";"01057";"1660";"1060";"600";"1570";"90";"30"
"Hamburg, Freie und Hansestadt";"02000";"Rendsburg-Eckernförde";"01058";"3580";"2380";"1200";"3330";"250";"80"
"Hamburg, Freie und Hansestadt";"02000";"Schleswig-Flensburg";"01059";"1560";"1010";"550";"1470";"90";"30"
"Hamburg, Freie und Hansestadt";"02000";"Segeberg";"01060";"35600";"19360";"16240";"32660";"2940";"1020"
"Hamburg, Freie und Hansestadt";"02000";"Steinburg";"01061";"6580";"4220";"2360";"6150";"430";"190"
"Hamburg, Freie und Hansestadt";"02000";"Stormarn";"01062";"41730";"21880";"19850";"38680";"3060";"1190"
"Hamburg, Freie und Hansestadt";"02000";"Braunschweig, Stadt";"03101";"720";"470";"250";"570";"150";"20"
"Hamburg, Freie und Hansestadt";"02000";"Salzgitter, Stadt";"03102";"140";"100";"40";"80";"60";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wolfsburg, Stadt";"03103";"210";"120";"90";"140";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Gifhorn";"03151";"290";"180";"110";"260";"30";"10"
"Hamburg, Freie und Hansestadt";"02000";"Goslar";"03153";"240";"160";"80";"200";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Helmstedt";"03154";"100";"60";"40";"90";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Northeim";"03155";"190";"110";"80";"160";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Peine";"03157";"280";"180";"100";"210";"60";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wolfenbüttel";"03158";"170";"100";"70";"150";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Göttingen";"03159";"970";"520";"440";"720";"250";"20"
"Hamburg, Freie und Hansestadt";"02000";"Region Hannover";"03241";"4340";"2760";"1580";"3570";"770";"70"
"Hamburg, Freie und Hansestadt";"02000";"Diepholz";"03251";"940";"650";"290";"850";"90";"20"
"Hamburg, Freie und Hansestadt";"02000";"Hameln-Pyrmont";"03252";"290";"180";"110";"200";"90";"0"
"Hamburg, Freie und Hansestadt";"02000";"Hildesheim";"03254";"610";"420";"190";"540";"70";"20"
"Hamburg, Freie und Hansestadt";"02000";"Holzminden";"03255";"70";"40";"30";"60";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Nienburg (Weser)";"03256";"270";"170";"100";"240";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Schaumburg";"03257";"330";"230";"100";"240";"80";"10"
"Hamburg, Freie und Hansestadt";"02000";"Celle";"03351";"730";"470";"260";"640";"90";"10"
"Hamburg, Freie und Hansestadt";"02000";"Cuxhaven";"03352";"1930";"1360";"570";"1840";"90";"50"
"Hamburg, Freie und Hansestadt";"02000";"Harburg";"03353";"47530";"27400";"20120";"44040";"3490";"1220"
"Hamburg, Freie und Hansestadt";"02000";"Lüchow-Dannenberg";"03354";"490";"310";"180";"460";"30";"10"
"Hamburg, Freie und Hansestadt";"02000";"Lüneburg";"03355";"11260";"6780";"4480";"10640";"620";"230"
"Hamburg, Freie und Hansestadt";"02000";"Osterholz";"03356";"670";"470";"200";"620";"50";"10"
"Hamburg, Freie und Hansestadt";"02000";"Rotenburg (Wümme)";"03357";"4020";"2690";"1340";"3820";"200";"100"
"Hamburg, Freie und Hansestadt";"02000";"Heidekreis";"03358";"2380";"1540";"840";"2170";"210";"40"
"Hamburg, Freie und Hansestadt";"02000";"Stade";"03359";"22530";"15310";"7210";"20750";"1770";"640"
"Hamburg, Freie und Hansestadt";"02000";"Uelzen";"03360";"1870";"1130";"730";"1760";"110";"30"
"Hamburg, Freie und Hansestadt";"02000";"Verden";"03361";"910";"630";"280";"850";"60";"20"
"Hamburg, Freie und Hansestadt";"02000";"Delmenhorst, Stadt";"03401";"310";"200";"110";"230";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Emden, Stadt";"03402";"120";"90";"30";"100";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Oldenburg (Oldenburg), Stadt";"03403";"790";"500";"290";"700";"90";"10"
"Hamburg, Freie und Hansestadt";"02000";"Osnabrück, Stadt";"03404";"410";"240";"160";"350";"60";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wilhelmshaven, Stadt";"03405";"280";"200";"80";"190";"80";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ammerland";"03451";"380";"260";"120";"350";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Aurich";"03452";"380";"240";"150";"340";"40";"10"
"Hamburg, Freie und Hansestadt";"02000";"Cloppenburg";"03453";"330";"240";"90";"250";"80";"10"
"Hamburg, Freie und Hansestadt";"02000";"Emsland";"03454";"510";"370";"150";"340";"170";"10"
"Hamburg, Freie und Hansestadt";"02000";"Friesland";"03455";"260";"190";"70";"250";"10";"10"
"Hamburg, Freie und Hansestadt";"02000";"Grafschaft Bentheim";"03456";"120";"80";"40";"100";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Leer";"03457";"500";"380";"120";"410";"90";"10"
"Hamburg, Freie und Hansestadt";"02000";"Oldenburg";"03458";"540";"380";"160";"510";"30";"10"
"Hamburg, Freie und Hansestadt";"02000";"Osnabrück";"03459";"510";"330";"180";"420";"90";"10"
"Hamburg, Freie und Hansestadt";"02000";"Vechta";"03460";"260";"150";"110";"230";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wesermarsch";"03461";"360";"240";"120";"310";"50";"10"
"Hamburg, Freie und Hansestadt";"02000";"Wittmund";"03462";"100";"80";"20";"80";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bremen, Stadt";"04011";"4620";"2950";"1670";"3420";"1200";"70"
"Hamburg, Freie und Hansestadt";"02000";"Bremerhaven, Stadt";"04012";"720";"530";"190";"510";"210";"10"
"Hamburg, Freie und Hansestadt";"02000";"Düsseldorf, Stadt";"05111";"1580";"870";"720";"1220";"360";"10"
"Hamburg, Freie und Hansestadt";"02000";"Duisburg, Stadt";"05112";"650";"430";"230";"400";"250";"10"
"Hamburg, Freie und Hansestadt";"02000";"Essen, Stadt";"05113";"700";"440";"260";"560";"140";"10"
"Hamburg, Freie und Hansestadt";"02000";"Krefeld, Stadt";"05114";"310";"200";"110";"240";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Mönchengladbach, Stadt";"05116";"310";"210";"100";"200";"110";"0"
"Hamburg, Freie und Hansestadt";"02000";"Mülheim an der Ruhr, Stadt";"05117";"180";"130";"60";"140";"40";"10"
"Hamburg, Freie und Hansestadt";"02000";"Oberhausen, Stadt";"05119";"190";"140";"60";"150";"50";"10"
"Hamburg, Freie und Hansestadt";"02000";"Remscheid, Stadt";"05120";"60";"40";"10";"40";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Solingen, Klingenstadt";"05122";"210";"130";"80";"150";"60";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wuppertal, Stadt";"05124";"310";"200";"110";"230";"80";"0"
"Hamburg, Freie und Hansestadt";"02000";"Kleve";"05154";"300";"180";"120";"210";"90";"0"
"Hamburg, Freie und Hansestadt";"02000";"Mettmann";"05158";"590";"380";"220";"490";"100";"10"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Kreis Neuss";"05162";"640";"400";"230";"520";"120";"0"
"Hamburg, Freie und Hansestadt";"02000";"Viersen";"05166";"290";"190";"100";"270";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wesel";"05170";"460";"300";"160";"350";"120";"10"
"Hamburg, Freie und Hansestadt";"02000";"Bonn, Stadt";"05314";"510";"330";"190";"410";"100";"10"
"Hamburg, Freie und Hansestadt";"02000";"Köln, Stadt";"05315";"2050";"1200";"850";"1690";"360";"30"
"Hamburg, Freie und Hansestadt";"02000";"Leverkusen, Stadt";"05316";"130";"90";"40";"100";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Städteregion Aachen";"05334";"530";"340";"190";"400";"130";"10"
"Hamburg, Freie und Hansestadt";"02000";"Düren";"05358";"180";"110";"60";"130";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Erft-Kreis";"05362";"650";"430";"220";"500";"150";"10"
"Hamburg, Freie und Hansestadt";"02000";"Euskirchen";"05366";"150";"90";"60";"120";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Heinsberg";"05370";"210";"140";"70";"160";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Oberbergischer Kreis";"05374";"180";"110";"70";"150";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rheinisch-Bergischer Kreis";"05378";"310";"200";"110";"280";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Sieg-Kreis";"05382";"610";"390";"220";"540";"70";"10"
"Hamburg, Freie und Hansestadt";"02000";"Bottrop, Stadt";"05512";"120";"90";"40";"90";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Gelsenkirchen, Stadt";"05513";"220";"150";"70";"140";"80";"0"
"Hamburg, Freie und Hansestadt";"02000";"Münster, Stadt";"05515";"580";"350";"230";"530";"60";"10"
"Hamburg, Freie und Hansestadt";"02000";"Borken";"05554";"290";"200";"100";"240";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Coesfeld";"05558";"210";"150";"60";"180";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Recklinghausen";"05562";"500";"340";"160";"430";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Steinfurt";"05566";"500";"320";"180";"420";"80";"0"
"Hamburg, Freie und Hansestadt";"02000";"Warendorf";"05570";"230";"140";"90";"190";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bielefeld, Stadt";"05711";"400";"250";"160";"330";"80";"0"
"Hamburg, Freie und Hansestadt";"02000";"Gütersloh";"05754";"350";"220";"130";"280";"70";"10"
"Hamburg, Freie und Hansestadt";"02000";"Herford";"05758";"240";"170";"80";"220";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Höxter";"05762";"120";"90";"30";"90";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Lippe";"05766";"310";"190";"110";"270";"40";"10"
"Hamburg, Freie und Hansestadt";"02000";"Minden-Lübbecke";"05770";"390";"260";"120";"320";"60";"10"
"Hamburg, Freie und Hansestadt";"02000";"Paderborn";"05774";"350";"230";"120";"290";"60";"10"
"Hamburg, Freie und Hansestadt";"02000";"Bochum, Stadt";"05911";"390";"250";"140";"320";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Dortmund, Stadt";"05913";"1230";"730";"500";"560";"670";"10"
"Hamburg, Freie und Hansestadt";"02000";"Hagen, Stadt der FernUniversität";"05914";"140";"90";"50";"110";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Hamm, Stadt";"05915";"200";"140";"70";"130";"80";"0"
"Hamburg, Freie und Hansestadt";"02000";"Herne, Stadt";"05916";"130";"90";"40";"100";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ennepe-Ruhr-Kreis";"05954";"290";"200";"80";"260";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Hochsauerlandkreis";"05958";"150";"90";"50";"130";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Märkischer Kreis";"05962";"210";"130";"80";"180";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Olpe";"05966";"50";"30";"20";"40";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Siegen-Wittgenstein";"05970";"110";"80";"30";"90";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Soest";"05974";"270";"140";"130";"210";"60";"0"
"Hamburg, Freie und Hansestadt";"02000";"Unna";"05978";"930";"600";"330";"320";"610";"10"
"Hamburg, Freie und Hansestadt";"02000";"Darmstadt, Wissenschaftsstadt";"06411";"220";"130";"80";"170";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Frankfurt am Main, Stadt";"06412";"1770";"1020";"750";"1210";"560";"10"
"Hamburg, Freie und Hansestadt";"02000";"Offenbach am Main, Stadt";"06413";"230";"120";"110";"140";"90";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wiesbaden, Landeshauptstadt";"06414";"410";"230";"180";"340";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bergstraße";"06431";"240";"160";"90";"170";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Darmstadt-Dieburg";"06432";"360";"240";"120";"270";"100";"0"
"Hamburg, Freie und Hansestadt";"02000";"Groß-Gerau";"06433";"500";"280";"220";"310";"190";"0"
"Hamburg, Freie und Hansestadt";"02000";"Hochtaunuskreis";"06434";"370";"210";"160";"310";"60";"10"
"Hamburg, Freie und Hansestadt";"02000";"Main-Kinzig-Kreis";"06435";"430";"280";"150";"360";"70";"10"
"Hamburg, Freie und Hansestadt";"02000";"Main-Taunus-Kreis";"06436";"420";"280";"140";"350";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Odenwaldkreis";"06437";"50";"40";"20";"40";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Offenbach";"06438";"550";"330";"220";"410";"130";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rheingau-Taunus-Kreis";"06439";"210";"150";"60";"190";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wetteraukreis";"06440";"400";"230";"160";"300";"100";"10"
"Hamburg, Freie und Hansestadt";"02000";"Gießen";"06531";"210";"130";"80";"180";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Lahn-Dill-Kreis";"06532";"140";"90";"50";"110";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Limburg-Weilburg";"06533";"120";"80";"40";"100";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Marburg-Biedenkopf";"06534";"190";"120";"70";"150";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Vogelsbergkreis";"06535";"60";"40";"20";"50";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Kassel, documenta-Stadt";"06611";"270";"170";"100";"200";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Fulda";"06631";"210";"130";"80";"180";"30";"10"
"Hamburg, Freie und Hansestadt";"02000";"Hersfeld-Rotenburg";"06632";"170";"120";"50";"110";"60";"10"
"Hamburg, Freie und Hansestadt";"02000";"Kassel";"06633";"250";"160";"80";"210";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Schwalm-Eder-Kreis";"06634";"150";"90";"70";"120";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Waldeck-Frankenberg";"06635";"110";"60";"50";"100";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Werra-Meißner-Kreis";"06636";"90";"50";"40";"70";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Koblenz, kreisfreie Stadt";"07111";"90";"50";"40";"60";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ahrweiler";"07131";"100";"80";"20";"70";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Altenkirchen (Westerwald)";"07132";"60";"40";"20";"50";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bad Kreuznach";"07133";"80";"60";"20";"70";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Birkenfeld";"07134";"30";"20";"10";"20";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Cochem-Zell";"07135";"30";"20";"10";"30";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Mayen-Koblenz";"07137";"160";"110";"50";"120";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Neuwied";"07138";"100";"70";"30";"90";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Hunsrück-Kreis";"07140";"50";"40";"10";"40";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Lahn-Kreis";"07141";"70";"50";"20";"60";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Westerwaldkreis";"07143";"130";"90";"40";"110";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Trier, kreisfreie Stadt";"07211";"90";"50";"40";"70";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bernkastel-Wittlich";"07231";"70";"50";"30";"60";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Eifelkreis Bitburg-Prüm";"07232";"30";"20";"10";"20";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Vulkaneifel";"07233";"20";"10";"10";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Trier-Saarburg";"07235";"60";"40";"20";"40";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Frankenthal (Pfalz), kreisfreie Stadt";"07311";"20";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Kaiserslautern, kreisfreie Stadt";"07312";"130";"80";"50";"60";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Landau in der Pfalz, kreisfreie Stadt";"07313";"30";"20";"10";"30";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ludwigshafen am Rhein, kreisfreie Stadt";"07314";"100";"70";"40";"60";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Mainz, kreisfreie Stadt";"07315";"260";"150";"110";"210";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Neustadt an der Weinstraße, kreisfreie Stadt";"07316";"40";"20";"10";"30";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Pirmasens, kreisfreie Stadt";"07317";"20";"10";"10";"10";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Speyer, kreisfreie Stadt";"07318";"30";"10";"10";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Worms, kreisfreie Stadt";"07319";"240";"140";"100";"40";"200";"0"
