"Land";"Saarland"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Regionalverband Saarbrücken";"10041";"Einpendler insgesamt";"0";"69920";"39230";"30690";"56080";"13840";"2170"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"010xx";"30";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Flensburg, Stadt";"01001";"20";"10";"10";"10";"20";"0"
"Regionalverband Saarbrücken";"10041";"Kiel, Landeshauptstadt";"01002";"10";"10";"0";"0";"10";"0"
"Regionalverband Saarbrücken";"10041";"Dithmarschen";"01051";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Ostholstein";"01055";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Pinneberg";"01056";"30";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Schleswig-Flensburg";"01059";"70";"40";"30";"10";"70";"0"
"Regionalverband Saarbrücken";"10041";"Segeberg";"01060";"20";"20";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Stormarn";"01062";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Hamburg, Freie und Hansestadt";"02000";"130";"80";"50";"100";"40";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"031xx";"30";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Gifhorn";"03151";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Göttingen";"03159";"20";"10";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"032xx";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Region Hannover";"03241";"60";"40";"20";"50";"10";"0"
"Regionalverband Saarbrücken";"10041";"Diepholz";"03251";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Hildesheim";"03254";"10";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"033xx";"20";"20";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Cuxhaven";"03352";"10";"0";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Harburg";"03353";"30";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Lüneburg";"03355";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Heidekreis";"03358";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Stade";"03359";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"034xx";"50";"30";"10";"30";"20";"0"
"Regionalverband Saarbrücken";"10041";"Ammerland";"03451";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Emsland";"03454";"40";"30";"10";"10";"30";"0"
"Regionalverband Saarbrücken";"10041";"Oldenburg";"03458";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Osnabrück";"03459";"20";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Wesermarsch";"03461";"10";"10";"0";"0";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"040xx";"0";"0";"0";"0";"0";"0"
"Regionalverband Saarbrücken";"10041";"Bremen, Stadt";"04011";"30";"20";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"051xx";"10";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Düsseldorf, Stadt";"05111";"40";"20";"20";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Duisburg, Stadt";"05112";"40";"30";"10";"20";"20";"0"
"Regionalverband Saarbrücken";"10041";"Essen, Stadt";"05113";"40";"30";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Krefeld, Stadt";"05114";"10";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Mönchengladbach, Stadt";"05116";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Mülheim an der Ruhr, Stadt";"05117";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Oberhausen, Stadt";"05119";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Wuppertal, Stadt";"05124";"20";"10";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Kleve";"05154";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Mettmann";"05158";"40";"30";"10";"40";"0";"0"
"Regionalverband Saarbrücken";"10041";"Rhein-Kreis Neuss";"05162";"40";"20";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Viersen";"05166";"20";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Wesel";"05170";"30";"20";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Bonn, Stadt";"05314";"20";"20";"0";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Köln, Stadt";"05315";"140";"70";"60";"100";"40";"10"
"Regionalverband Saarbrücken";"10041";"Leverkusen, Stadt";"05316";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Städteregion Aachen";"05334";"40";"30";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Düren";"05358";"20";"10";"0";"10";"10";"0"
