"Land";"Bremen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Bremen, Stadt";"04011";"Einpendler insgesamt";"0";"130930";"81920";"49010";"118550";"12380";"3630"
"Bremen, Stadt";"04011";"Flensburg, Stadt";"01001";"60";"40";"30";"50";"10";"0"
"Bremen, Stadt";"04011";"Kiel, Landeshauptstadt";"01002";"240";"130";"120";"170";"70";"0"
"Bremen, Stadt";"04011";"Lübeck, Hansestadt";"01003";"120";"70";"50";"110";"10";"0"
"Bremen, Stadt";"04011";"Neumünster, Stadt";"01004";"40";"20";"10";"20";"10";"0"
"Bremen, Stadt";"04011";"Dithmarschen";"01051";"50";"40";"10";"40";"10";"0"
"Bremen, Stadt";"04011";"Herzogtum Lauenburg";"01053";"170";"110";"50";"150";"20";"0"
"Bremen, Stadt";"04011";"Nordfriesland";"01054";"110";"90";"20";"80";"30";"0"
"Bremen, Stadt";"04011";"Ostholstein";"01055";"150";"90";"60";"140";"10";"0"
"Bremen, Stadt";"04011";"Pinneberg";"01056";"360";"210";"150";"300";"60";"10"
"Bremen, Stadt";"04011";"Plön";"01057";"100";"80";"20";"90";"10";"0"
"Bremen, Stadt";"04011";"Rendsburg-Eckernförde";"01058";"140";"110";"30";"120";"20";"0"
"Bremen, Stadt";"04011";"Schleswig-Flensburg";"01059";"90";"90";"10";"90";"0";"0"
"Bremen, Stadt";"04011";"Segeberg";"01060";"210";"140";"70";"180";"30";"0"
"Bremen, Stadt";"04011";"Steinburg";"01061";"70";"50";"20";"60";"10";"0"
"Bremen, Stadt";"04011";"Stormarn";"01062";"260";"170";"90";"230";"30";"0"
"Bremen, Stadt";"04011";"Hamburg, Freie und Hansestadt";"02000";"3180";"1980";"1200";"2550";"630";"70"
"Bremen, Stadt";"04011";"Braunschweig, Stadt";"03101";"140";"90";"50";"110";"30";"0"
"Bremen, Stadt";"04011";"Salzgitter, Stadt";"03102";"40";"40";"10";"30";"10";"0"
"Bremen, Stadt";"04011";"Wolfsburg, Stadt";"03103";"50";"40";"10";"40";"10";"0"
"Bremen, Stadt";"04011";"Gifhorn";"03151";"50";"20";"30";"50";"0";"0"
"Bremen, Stadt";"04011";"Goslar";"03153";"80";"50";"40";"60";"20";"0"
"Bremen, Stadt";"04011";"Helmstedt";"03154";"30";"20";"10";"20";"0";"0"
"Bremen, Stadt";"04011";"Northeim";"03155";"40";"30";"10";"30";"10";"0"
"Bremen, Stadt";"04011";"Peine";"03157";"50";"40";"10";"50";"0";"0"
"Bremen, Stadt";"04011";"Wolfenbüttel";"03158";"50";"30";"20";"40";"10";"0"
"Bremen, Stadt";"04011";"Göttingen";"03159";"110";"70";"40";"100";"20";"0"
"Bremen, Stadt";"04011";"Region Hannover";"03241";"1030";"700";"330";"800";"230";"30"
"Bremen, Stadt";"04011";"Diepholz";"03251";"20900";"11740";"9160";"19790";"1110";"610"
"Bremen, Stadt";"04011";"Hameln-Pyrmont";"03252";"50";"40";"10";"40";"10";"0"
"Bremen, Stadt";"04011";"Hildesheim";"03254";"140";"100";"40";"120";"30";"0"
"Bremen, Stadt";"04011";"Holzminden";"03255";"20";"20";"0";"20";"0";"0"
"Bremen, Stadt";"04011";"Nienburg (Weser)";"03256";"860";"560";"300";"790";"70";"20"
