"Land";"Thüringen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Erfurt, Stadt";"16051";"Einpendler insgesamt";"0";"50270";"26250";"24020";"45540";"4730";"1570"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"010xx";"60";"40";"30";"50";"10";"0"
"Erfurt, Stadt";"16051";"Rendsburg-Eckernförde";"01058";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Segeberg";"01060";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Stormarn";"01062";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Hamburg, Freie und Hansestadt";"02000";"110";"70";"40";"90";"20";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"031xx";"30";"20";"10";"30";"10";"0"
"Erfurt, Stadt";"16051";"Goslar";"03153";"20";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Northeim";"03155";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Göttingen";"03159";"80";"50";"30";"70";"10";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"032xx";"30";"20";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Region Hannover";"03241";"80";"40";"40";"60";"20";"0"
"Erfurt, Stadt";"16051";"Schaumburg";"03257";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"033xx";"40";"20";"10";"30";"10";"0"
"Erfurt, Stadt";"16051";"Harburg";"03353";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Lüneburg";"03355";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Stade";"03359";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"034xx";"60";"40";"20";"30";"20";"0"
"Erfurt, Stadt";"16051";"Osnabrück, Stadt";"03404";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Emsland";"03454";"20";"20";"0";"0";"10";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"040xx";"10";"0";"0";"0";"0";"0"
"Erfurt, Stadt";"16051";"Bremen, Stadt";"04011";"20";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"051xx";"50";"40";"10";"40";"10";"0"
"Erfurt, Stadt";"16051";"Düsseldorf, Stadt";"05111";"30";"20";"20";"20";"10";"0"
"Erfurt, Stadt";"16051";"Essen, Stadt";"05113";"30";"20";"10";"20";"0";"0"
