lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert DSE/m²
1;07131;Ahrweiler;3.88 
2;09771;Aichach-Friedberg;3.74 
3;08425;Alb-Donau-Kreis;3.29 
4;16077;Altenburger Land;4.93 
5;07132;Altenkirchen (Westerwald);5.37 
6;15081;Altmarkkreis Salzwedel;1.64 
7;09171;Altötting;5.01 
8;07331;Alzey-Worms;3.78 
9;09361;Amberg;14.40 
10;09371;Amberg-Sulzbach;2.53 
11;03451;Ammerland;6.03 
12;15082;Anhalt-Bitterfeld;3.58 
13;09561;Ansbach;8.65 
14;09571;Ansbach (Landkreis);2.75 
15;09661;Aschaffenburg;15.62 
16;09671;Aschaffenburg (Landkreis);4.77 
17;09761;Augsburg;18.55 
18;09772;Augsburg (Landkreis);4.97 
19;03452;Aurich;4.98 
20;07332;Bad Dürkheim;3.98 
21;09672;Bad Kissingen;2.49 
22;07133;Bad Kreuznach;3.91 
23;09173;Bad Tölz-Wolfratshausen;2.25 
24;08211;Baden-Baden;5.78 
25;09461;Bamberg;19.27 
26;09471;Bamberg (Landkreis);2.82 
27;12060;Barnim;3.97 
28;14625;Bautzen;4.01 
29;09462;Bayreuth;16.69 
30;09472;Bayreuth (Landkreis);2.45 
31;09172;Berchtesgadener Land;2.48 
32;06431;Bergstraße;6.26 
33;11000;Berlin;28.63 
34;07231;Bernkastel-Wittlich;2.59 
35;08426;Biberach;3.52 
36;05711;Bielefeld;18.04 
37;07134;Birkenfeld;3.15 
38;05911;Bochum;28.85 
39;08435;Bodenseekreis;5.31 
40;05314;Bonn;21.99 
41;05554;Borken;5.86 
42;05512;Bottrop;16.77 
43;12051;Brandenburg an der Havel;7.44 
44;03101;Braunschweig;17.41 
45;08315;Breisgau-Hochschwarzwald;3.24 
46;04011;Bremen;24.80 
47;04012;Bremerhaven;21.05 
48;15084;Burgenlandkreis;3.95 
49;08115;Böblingen;7.53 
50;15083;Börde;2.38 
51;08235;Calw;3.66 
52;03351;Celle;3.30 
53;09372;Cham;3.03 
54;14511;Chemnitz;17.14 
55;03453;Cloppenburg;4.41 
56;09463;Coburg;17.02 
57;09473;Coburg (Landkreis);4.06 
58;07135;Cochem-Zell;2.43 
59;05558;Coesfeld;4.48 
60;12052;Cottbus;14.49 
61;03352;Cuxhaven;3.50 
62;09174;Dachau;4.67 
63;12061;Dahme-Spreewald;2.67 
64;06411;Darmstadt;13.72 
65;06432;Darmstadt-Dieburg;6.52 
66;09271;Deggendorf;4.05 
67;03401;Delmenhorst;21.77 
68;15001;Dessau-Roßlau;6.57 
69;03251;Diepholz;3.91 
70;09773;Dillingen a.d. Donau;3.38 
71;09279;Dingolfing-Landau;3.67 
72;01051;Dithmarschen;3.47 
73;09779;Donau-Ries;3.04 
74;07333;Donnersbergkreis;2.87 
75;05913;Dortmund;24.08 
76;14612;Dresden;17.94 
77;05112;Duisburg;24.78 
78;05358;Düren;5.46 
79;05111;Düsseldorf;23.62 
80;09175;Ebersberg;4.25 
81;16061;Eichsfeld;2.38 
82;09176;Eichstätt;2.45 
83;07232;Eifelkreis Bitburg-Prüm;2.26 
84;16056;Eisenach;6.64 
85;12062;Elbe-Elster;2.70 
86;03402;Emden;11.87 
87;08316;Emmendingen;3.63 
88;03454;Emsland;3.96 
89;05954;Ennepe-Ruhr-Kreis;12.59 
90;08236;Enzkreis;5.43 
91;09177;Erding;3.92 
92;16051;Erfurt;10.08 
93;09562;Erlangen;16.17 
94;09572;Erlangen-Höchstadt;4.41 
95;14521;Erzgebirgskreis;4.80 
96;05113;Essen;27.89 
97;08116;Esslingen;9.25 
98;05366;Euskirchen;3.95 
99;01001;Flensburg;21.17 
100;09474;Forchheim;3.90 
101;07311;Frankenthal (Pfalz);13.69 
102;12053;Frankfurt (Oder);8.28 
103;06412;Frankfurt am Main;21.42 
104;08311;Freiburg im Breisgau;12.12 
105;09178;Freising;4.28 
106;08237;Freudenstadt;2.81 
107;09272;Freyung-Grafenau;2.81 
108;03455;Friesland;5.30 
109;06631;Fulda;3.87 
110;09179;Fürstenfeldbruck;6.86 
111;09563;Fürth;19.54 
112;09573;Fürth (Landkreis);5.97 
113;09180;Garmisch-Partenkirchen;1.62 
114;05513;Gelsenkirchen;28.96 
115;16052;Gera;9.91 
116;07334;Germersheim;5.26 
117;06531;Gießen;5.32 
118;03151;Gifhorn;2.78 
119;03153;Goslar;3.42 
120;16067;Gotha;3.59 
121;03456;Grafschaft Bentheim;4.37 
122;16076;Greiz;4.73 
123;06433;Groß-Gerau;8.13 
124;08117;Göppingen;5.75 
125;14626;Görlitz;4.10 
126;03159;Göttingen;3.78 
127;09774;Günzburg;4.24 
128;05754;Gütersloh;8.51 
129;05914;Hagen;14.75 
130;15002;Halle (Saale);19.59 
131;02000;Hamburg;24.81 
132;03252;Hameln-Pyrmont;4.46 
133;05915;Hamm;13.00 
134;03353;Harburg;5.23 
135;15085;Harz;2.59 
136;12063;Havelland;3.10 
137;09674;Haßberge;2.49 
138;03358;Heidekreis;2.72 
139;08221;Heidelberg;13.46 
140;08135;Heidenheim;4.10 
141;08121;Heilbronn;14.16 
142;08125;Heilbronn (Landkreis);5.11 
143;05370;Heinsberg;8.52 
144;03154;Helmstedt;3.55 
145;05758;Herford;13.60 
146;05916;Herne;32.41 
147;06632;Hersfeld-Rotenburg;2.94 
148;01053;Herzogtum Lauenburg;3.76 
149;16069;Hildburghausen;2.29 
150;03254;Hildesheim;4.64 
151;05958;Hochsauerlandkreis;3.18 
152;06434;Hochtaunuskreis;6.30 
153;09464;Hof;15.89 
154;09475;Hof (Landkreis);3.53 
155;08126;Hohenlohekreis;3.31 
156;03255;Holzminden;2.81 
157;05762;Höxter;3.21 
158;16070;Ilm-Kreis;3.22 
159;09161;Ingolstadt;14.44 
160;16053;Jena;9.58 
161;15086;Jerichower Land;2.19 
162;07312;Kaiserslautern;10.80 
163;07335;Kaiserslautern (Landkreis);4.22 
164;08212;Karlsruhe;18.91 
165;08215;Karlsruhe (Landkreis);6.26 
166;06633;Kassel;4.13 
167;06611;Kassel (Kreisfreie Stadt);23.59 
168;09762;Kaufbeuren;14.50 
169;09273;Kelheim;2.97 
170;09763;Kempten (Allgäu);13.79 
171;01002;Kiel;21.32 
172;09675;Kitzingen;3.52 
173;05154;Kleve;6.37 
174;07111;Koblenz;14.18 
175;08335;Konstanz;4.96 
176;05114;Krefeld;22.99 
177;09476;Kronach;2.96 
178;09477;Kulmbach;3.33 
179;07336;Kusel;3.35 
180;16065;Kyffhäuserkreis;2.07 
