Kennziffer;Raumeinheit;Aggregat;Schulabgänger mit allgemeiner Hochschulreife;Bruttoinlandsprodukt je Erwerbstätigen;Stimmenanteile CDU/CSU;Stimmenanteile AfD
"01001";"Flensburg. Stadt";"Kreise";"43.87";"70.67";"14.07";"5.42"
"01002";"Kiel. Landeshauptstadt";"Kreise";"43.97";"73.85";"14.53";"5.02"
"01003";"Lübeck. Hansestadt";"Kreise";"38.98";"91.66";"17.64";"6.63"
"01004";"Neumünster. Stadt";"Kreise";"43.25";"73.38";"20.24";"9.38"
"01051";"Dithmarschen";"Kreise";"28.42";"95.94";"25.49";"8.80"
"01053";"Herzogtum Lauenburg";"Kreise";"34.23";"73.77";"22.94";"8.35"
"01054";"Nordfriesland";"Kreise";"26.10";"75.87";"23.99";"5.23"
"01055";"Ostholstein";"Kreise";"29.41";"67.36";"25.31";"7.03"
"01056";"Pinneberg";"Kreise";"39.74";"80.06";"22.10";"6.87"
"01057";"Plön";"Kreise";"33.55";"67.75";"23.75";"6.32"
"01058";"Rendsburg-Eckernförde";"Kreise";"36.34";"79.66";"23.91";"6.36"
"01059";"Schleswig-Flensburg";"Kreise";"25.70";"74.00";"22.90";"5.92"
"01060";"Segeberg";"Kreise";"36.52";"78.78";"22.77";"7.62"
"01061";"Steinburg";"Kreise";"30.83";"75.71";"23.91";"7.98"
"01062";"Stormarn";"Kreise";"51.29";"80.30";"23.05";"6.62"
"02000";"Hamburg. Freie und Hansestadt";"Kreise";"54.55";"112.16";"15.44";"5.03"
"03101";"Braunschweig. Stadt";"Kreise";"49.37";"116.88";"18.61";"5.91"
"03102";"Salzgitter. Stadt";"Kreise";"24.01";"98.47";"21.64";"13.47"
"03103";"Wolfsburg. Stadt";"Kreise";"43.69";"147.73";"24.43";"9.31"
"03151";"Gifhorn";"Kreise";"30.18";"75.84";"24.30";"10.48"
"03153";"Goslar";"Kreise";"23.91";"70.45";"23.35";"9.24"
"03154";"Helmstedt";"Kreise";"29.49";"72.59";"24.95";"9.19"
"03155";"Northeim";"Kreise";"33.67";"67.39";"23.46";"8.03"
"03157";"Peine";"Kreise";"34.60";"75.68";"21.50";"9.03"
