lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %
1;07131;Ahrweiler;2.107 
2;09771;Aichach-Friedberg;2.729 
3;08425;Alb-Donau-Kreis;2.431 
4;16077;Altenburger Land;2.242 
5;07132;Altenkirchen (Westerwald);2.820 
6;15081;Altmarkkreis Salzwedel;0.744 
7;09171;Altötting;2.661 
8;07331;Alzey-Worms;2.767 
9;09361;Amberg;6.105 
10;09371;Amberg-Sulzbach;2.229 
11;03451;Ammerland;2.299 
12;15082;Anhalt-Bitterfeld;1.775 
13;09561;Ansbach;4.631 
14;09571;Ansbach (Landkreis);2.581 
15;09661;Aschaffenburg;6.323 
16;09671;Aschaffenburg (Landkreis);3.465 
17;09761;Augsburg;6.781 
18;09772;Augsburg (Landkreis);3.181 
19;03452;Aurich;2.283 
20;07332;Bad Dürkheim;2.314 
21;09672;Bad Kissingen;2.549 
22;07133;Bad Kreuznach;2.272 
23;09173;Bad Tölz-Wolfratshausen;1.507 
24;08211;Baden-Baden;3.726 
25;09461;Bamberg;7.447 
26;09471;Bamberg (Landkreis);2.803 
27;12060;Barnim;1.578 
28;14625;Bautzen;2.021 
29;09462;Bayreuth;6.527 
30;09472;Bayreuth (Landkreis);2.308 
31;09172;Berchtesgadener Land;1.484 
32;06431;Bergstraße;3.830 
33;11000;Berlin;8.671 
34;07231;Bernkastel-Wittlich;2.167 
35;08426;Biberach;2.372 
36;05711;Bielefeld;6.623 
37;07134;Birkenfeld;1.944 
38;05911;Bochum;9.455 
39;08435;Bodenseekreis;3.010 
40;05314;Bonn;8.015 
41;05554;Borken;3.003 
42;05512;Bottrop;6.175 
43;12051;Brandenburg an der Havel;2.228 
44;03101;Braunschweig;6.161 
45;08315;Breisgau-Hochschwarzwald;2.462 
46;04011;Bremen;6.419 
47;04012;Bremerhaven;6.877 
48;15084;Burgenlandkreis;1.755 
49;08115;Böblingen;4.426 
50;15083;Börde;1.275 
51;08235;Calw;2.940 
52;03351;Celle;1.584 
53;09372;Cham;2.153 
54;14511;Chemnitz;6.050 
55;03453;Cloppenburg;1.985 
56;09463;Coburg;6.788 
57;09473;Coburg (Landkreis);2.913 
58;07135;Cochem-Zell;1.843 
59;05558;Coesfeld;2.453 
60;12052;Cottbus;3.909 
61;03352;Cuxhaven;1.718 
62;09174;Dachau;2.682 
63;12061;Dahme-Spreewald;1.467 
64;06411;Darmstadt;5.607 
65;06432;Darmstadt-Dieburg;3.850 
66;09271;Deggendorf;2.440 
67;03401;Delmenhorst;6.093 
68;15001;Dessau-Roßlau;2.830 
69;03251;Diepholz;2.034 
70;09773;Dillingen a.d. Donau;2.552 
71;09279;Dingolfing-Landau;2.372 
72;01051;Dithmarschen;1.895 
73;09779;Donau-Ries;2.659 
74;07333;Donnersbergkreis;1.939 
75;05913;Dortmund;8.685 
76;14612;Dresden;6.122 
77;05112;Duisburg;7.815 
78;05358;Düren;2.957 
79;05111;Düsseldorf;8.256 
80;09175;Ebersberg;2.395 
81;16061;Eichsfeld;1.908 
82;09176;Eichstätt;2.504 
83;07232;Eifelkreis Bitburg-Prüm;1.760 
84;16056;Eisenach;3.540 
85;12062;Elbe-Elster;1.316 
86;03402;Emden;4.437 
87;08316;Emmendingen;2.721 
88;03454;Emsland;2.195 
89;05954;Ennepe-Ruhr-Kreis;4.773 
90;08236;Enzkreis;3.521 
91;09177;Erding;2.262 
92;16051;Erfurt;4.456 
93;09562;Erlangen;7.954 
94;09572;Erlangen-Höchstadt;3.226 
95;14521;Erzgebirgskreis;2.595 
96;05113;Essen;9.215 
97;08116;Esslingen;4.839 
98;05366;Euskirchen;2.731 
99;01001;Flensburg;7.204 
100;09474;Forchheim;2.818 
101;07311;Frankenthal (Pfalz);5.987 
102;12053;Frankfurt (Oder);3.039 
103;06412;Frankfurt am Main;9.042 
104;08311;Freiburg im Breisgau;5.433 
105;09178;Freising;2.609 
106;08237;Freudenstadt;2.662 
107;09272;Freyung-Grafenau;2.126 
108;03455;Friesland;2.505 
109;06631;Fulda;3.105 
110;09179;Fürstenfeldbruck;3.345 
111;09563;Fürth;7.821 
112;09573;Fürth (Landkreis);3.365 
113;09180;Garmisch-Partenkirchen;1.290 
114;05513;Gelsenkirchen;9.483 
115;16052;Gera;3.716 
116;07334;Germersheim;2.635 
117;06531;Gießen;3.651 
118;03151;Gifhorn;1.767 
119;03153;Goslar;3.239 
120;16067;Gotha;1.929 
121;03456;Grafschaft Bentheim;2.341 
122;16076;Greiz;1.841 
123;06433;Groß-Gerau;4.306 
124;08117;Göppingen;3.463 
125;14626;Görlitz;2.095 
126;03159;Göttingen;3.357 
127;09774;Günzburg;2.940 
128;05754;Gütersloh;3.591 
129;05914;Hagen;6.050 
130;15002;Halle (Saale);6.515 
131;02000;Hamburg;6.378 
132;03252;Hameln-Pyrmont;2.969 
133;05915;Hamm;4.972 
134;03353;Harburg;2.446 
135;15085;Harz;1.539 
136;12063;Havelland;1.210 
137;09674;Haßberge;2.613 
138;03358;Heidekreis;1.574 
139;08221;Heidelberg;5.499 
