"Package","Version"
"abind","1.4-5"
"AICcmodavg","2.3-2"
"anytime","0.3.9"
"aod","1.3.2"
"ash","1.0-15"
"askpass","1.1"
"assertthat","0.2.1"
"backports","1.4.1"
"base64enc","0.1-3"
"bayestestR","0.13.1"
"BH","1.81.0-1"
"bigD","0.2.0"
"bit","4.0.5"
"bit64","4.0.5"
"bitops","1.0-7"
"blob","1.2.3"
"BMA","3.18.17"
"boot","1.3-28.1"
"brew","1.0-8"
"brio","1.1.3"
"broom","1.0.2"
"bslib","0.8.0"
"cachem","1.1.0"
"callr","3.7.3"
"car","3.1-1"
"carData","3.0-5"
"caret","6.0-94"
"cellranger","1.1.0"
"checkmate","2.1.0"
"class","7.3-21"
"classInt","0.4-9"
"cli","3.6.3"
"clipr","0.8.0"
"clock","0.6.1"
"cluster","2.1.4"
"coda","0.19-4"
"codetools","0.2-18"
"coin","1.4-3"
"colorspace","2.1-0"
"commonmark","1.8.1"
"conflicted","1.1.0"
"corrplot","0.92"
"cowplot","1.1.1"
"cpp11","0.4.3"
"crayon","1.5.2"
"credentials","2.0.2"
"crosstalk","1.2.0"
"curl","6.1.0"
"data.table","1.14.6"
"datawizard","0.8.0"
"DBI","1.1.3"
"dbplyr","2.3.0"
"deldir","1.0-6"
"DEoptimR","1.1-3"
"desc","1.4.2"
"deSolve","1.40"
"devtools","2.4.5"
"DiceDesign","1.9"
"diffobj","0.3.5"
"digest","0.6.31"
"doParallel","1.0.17"
"downlit","0.4.4"
"dplyr","1.1.4"
"dtplyr","1.2.2"
"dygraphs","1.1.1.6"
"e1071","1.7-12"
"Ecdat","0.4-2"
"Ecfun","0.3-2"
"effectsize","0.8.3"
"ellipsis","0.3.2"
"emmeans","1.8.7"
"epiDisplay","3.5.0.2"
"estimability","1.4.1"
"evaluate","0.20"
"expm","0.999-7"
"extraDistr","1.9.1"
"fansi","1.0.4"
"farver","2.1.1"
"fastmap","1.2.0"
"fda","6.1.8"
"fds","1.8"
"FNN","1.1.4"
"fontawesome","0.5.3"
"forcats","0.5.2"
"foreach","1.5.2"
"foreign","0.8-84"
"Formula","1.2-4"
"formula.tools","1.7.1"
"fracdiff","1.5-2"
"fs","1.6.0"
"furrr","0.3.1"
"future","1.30.0"
"future.apply","1.10.0"
"generics","0.1.3"
"geojsonR","1.1.1"
"geojsonsf","2.0.3"
"geometries","0.2.2"
"geosphere","1.5-18"
"gert","2.1.4"
"ggeffects","1.2.3"
"ggnewscale","0.5.0"
"ggpattern","1.1.0-0"
"ggplot2","3.5.1"
"ggpubr","0.5.0"
"ggrepel","0.9.2"
"ggsci","2.9"
"ggsignif","0.6.4"
"gh","1.4.1"
"gitcreds","0.1.2"
"glmnet","4.1-6"
"globals","0.16.2"
"glue","1.6.2"
